open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-12-08 07:00:00+00:00,91600.06,91805.32,91361.18,91747.95,0.05056,2025-12-08 07:59:59.999000+00:00,4630.371235,23,0.02331,2137.849804
2025-12-08 08:00:00+00:00,91704.09,91901.25,91617.57,91617.57,0.01593,2025-12-08 08:59:59.999000+00:00,1461.6452556,20,0.01216,1116.2470167
2025-12-08 09:00:00+00:00,91901.25,92241.66,91847.31,92095.21,0.12985,2025-12-08 09:59:59.999000+00:00,11945.6885106,56,0.07995,7357.7685268
2025-12-08 10:00:00+00:00,91788.06,92257.78,91788.06,92000.37,0.08861,2025-12-08 10:59:59.999000+00:00,8171.9392983,14,0.08842,8154.4931976
2025-12-08 11:00:00+00:00,92009.0,92196.27,91883.96,91979.6,0.07549,2025-12-08 11:59:59.999000+00:00,6939.2488045,33,0.02177,2002.9774917
2025-12-08 12:00:00+00:00,91999.39,91999.39,91702.88,91718.86,0.05751,2025-12-08 12:59:59.999000+00:00,5280.6245423,22,0.00287,263.9400798
2025-12-08 13:00:00+00:00,91726.63,92217.03,91422.9,91422.9,0.24896,2025-12-08 13:59:59.999000+00:00,22829.7062191,51,0.12037,11045.8004125
2025-12-08 14:00:00+00:00,91613.13,91691.52,90910.52,90910.52,0.42003,2025-12-08 14:59:59.999000+00:00,38338.6230891,128,0.16702,15266.9700966
2025-12-08 15:00:00+00:00,90875.0,91095.8,89675.81,90267.19,1.72781,2025-12-08 15:59:59.999000+00:00,155309.6391587,163,0.18822,16944.6569623
2025-12-08 16:00:00+00:00,90192.36,90490.54,89676.62,90124.96,0.20997,2025-12-08 16:59:59.999000+00:00,18916.5214568,69,0.1068,9622.4100829
2025-12-08 17:00:00+00:00,90116.55,90418.9,89775.04,90418.9,0.21496,2025-12-08 17:59:59.999000+00:00,19348.1325596,60,0.09657,8695.973048
2025-12-08 18:00:00+00:00,90416.16,90509.99,89771.99,89771.99,0.4148,2025-12-08 18:59:59.999000+00:00,37445.4155058,79,0.17693,15995.8136174
2025-12-08 19:00:00+00:00,89777.54,90411.9,89777.54,90110.16,0.09012,2025-12-08 19:59:59.999000+00:00,8125.6117126,36,0.03586,3237.1508003
2025-12-08 20:00:00+00:00,90347.57,90910.27,90118.26,90908.51,0.21012,2025-12-08 20:59:59.999000+00:00,19020.0448061,55,0.14164,12829.7418994
2025-12-08 21:00:00+00:00,90729.47,91436.79,90729.47,91429.66,1.88051,2025-12-08 21:59:59.999000+00:00,171499.3915625,73,0.06562,5982.294113
2025-12-08 22:00:00+00:00,91428.42,91428.43,90770.6,91018.14,0.2139,2025-12-08 22:59:59.999000+00:00,19465.8826624,58,0.0336,3059.5710003
2025-12-08 23:00:00+00:00,91005.89,91140.34,90601.05,90817.84,0.04044,2025-12-08 23:59:59.999000+00:00,3673.5518623,42,0.01264,1150.4422892
2025-12-09 00:00:00+00:00,90551.18,90898.54,90368.38,90381.74,0.05226,2025-12-09 00:59:59.999000+00:00,4728.731665,208,0.01341,1216.4156685
2025-12-09 01:00:00+00:00,90381.76,90747.07,90030.41,90198.74,0.09586,2025-12-09 01:59:59.999000+00:00,8657.0515079,76,0.01265,1142.6210264
2025-12-09 02:00:00+00:00,90193.21,90434.94,90010.08,90012.11,0.00613,2025-12-09 02:59:59.999000+00:00,553.4755753,27,0.00494,446.1797974
2025-12-09 03:00:00+00:00,90320.54,90419.25,89886.91,90419.25,0.02635,2025-12-09 03:59:59.999000+00:00,2375.4952578,46,0.01463,1320.7585887
2025-12-09 04:00:00+00:00,90498.46,90580.47,89798.15,89810.49,0.25164,2025-12-09 04:59:59.999000+00:00,22618.1428844,55,0.01683,1521.7769093
2025-12-09 05:00:00+00:00,90046.4,90267.26,89510.8,90128.74,1.81999,2025-12-09 05:59:59.999000+00:00,162918.3808241,40,0.01418,1277.6062103
2025-12-09 06:00:00+00:00,90009.0,90247.14,89723.21,90247.14,0.13986,2025-12-09 06:59:59.999000+00:00,12604.8252391,32,0.13803,12440.42333
2025-12-09 07:00:00+00:00,90244.98,90505.45,89984.06,90505.45,0.02186,2025-12-09 07:59:59.999000+00:00,1972.7837881,14,0.02037,1838.6829187
2025-12-09 08:00:00+00:00,90631.29,90631.29,90381.59,90598.6,0.04367,2025-12-09 08:59:59.999000+00:00,3949.6314681,13,0.00198,179.411376
2025-12-09 09:00:00+00:00,90367.52,90584.55,90308.17,90480.44,0.00933,2025-12-09 09:59:59.999000+00:00,843.3873286,10,0.00183,165.708554
2025-12-09 10:00:00+00:00,90399.44,90399.44,90000.0,90235.23,0.0067,2025-12-09 10:59:59.999000+00:00,604.6810209,10,0.0051,460.6501704
2025-12-09 11:00:00+00:00,90459.49,90459.49,90200.15,90385.46,0.0184,2025-12-09 11:59:59.999000+00:00,1663.2129072,18,0.01838,1661.4089042
2025-12-09 12:00:00+00:00,90488.49,90681.16,90479.3,90679.4,0.08998,2025-12-09 12:59:59.999000+00:00,8153.9280377,31,0.08994,8150.3076621
2025-12-09 13:00:00+00:00,90677.24,90824.62,90184.02,90478.44,0.2026,2025-12-09 13:59:59.999000+00:00,18350.767101,63,0.05793,5255.6284958
2025-12-09 14:00:00+00:00,90478.23,90661.11,90079.58,90338.76,0.08441,2025-12-09 14:59:59.999000+00:00,7629.7003022,42,0.0312,2821.9608929
2025-12-09 15:00:00+00:00,90483.15,92817.36,90482.56,92549.41,24.67077,2025-12-09 15:59:59.999000+00:00,2243029.9241875,469,12.58141,1144149.7762165
2025-12-09 16:00:00+00:00,92817.36,94482.33,92744.87,94038.34,3.05137,2025-12-09 16:59:59.999000+00:00,285561.2984023,306,2.80326,262273.3139904
2025-12-09 17:00:00+00:00,94043.47,94629.02,93550.38,93917.13,0.52915,2025-12-09 17:59:59.999000+00:00,49759.4066992,116,0.32518,30595.8023081
2025-12-09 18:00:00+00:00,94092.37,94106.25,93640.99,93764.88,3.33392,2025-12-09 18:59:59.999000+00:00,312592.1530513,108,1.8743,175716.1616814
2025-12-09 19:00:00+00:00,93949.84,94174.85,93657.83,94044.33,0.37767,2025-12-09 19:59:59.999000+00:00,35506.9977821,58,0.35114,33019.2005785
2025-12-09 20:00:00+00:00,93948.35,93948.35,92822.06,93218.93,0.22689,2025-12-09 20:59:59.999000+00:00,21179.7337647,86,0.11826,11055.0806032
2025-12-09 21:00:00+00:00,92920.71,93279.01,92360.9,92734.55,0.15566,2025-12-09 21:59:59.999000+00:00,14416.4739479,82,0.06004,5561.8214342
2025-12-09 22:00:00+00:00,92733.68,93005.81,92603.0,92994.55,0.55464,2025-12-09 22:59:59.999000+00:00,51386.204291,75,0.53274,49356.8422616
2025-12-09 23:00:00+00:00,92997.74,92997.74,92515.77,92974.58,0.04312,2025-12-09 23:59:59.999000+00:00,4000.6589095,37,0.02443,2269.4276254
2025-12-10 00:00:00+00:00,92572.99,92874.44,92103.6,92103.74,0.08604,2025-12-10 00:59:59.999000+00:00,7950.9122469,81,0.01744,1615.4302064
2025-12-10 01:00:00+00:00,92104.38,92372.45,92004.69,92372.45,0.15855,2025-12-10 01:59:59.999000+00:00,14624.3904694,116,0.1183,10915.3479231
2025-12-10 02:00:00+00:00,92369.24,92570.43,92011.05,92400.0,0.13371,2025-12-10 02:59:59.999000+00:00,12352.4921597,29,0.12559,11603.4577435
2025-12-10 03:00:00+00:00,92595.47,92595.47,92303.7,92400.0,0.11821,2025-12-10 03:59:59.999000+00:00,10924.8428855,33,0.11503,10631.2447942
2025-12-10 04:00:00+00:00,92444.78,92634.71,92350.25,92634.1,0.12609,2025-12-10 04:59:59.999000+00:00,11660.3486433,29,0.12541,11597.5267593
2025-12-10 05:00:00+00:00,92417.15,92695.37,92417.15,92681.94,0.00932,2025-12-10 05:59:59.999000+00:00,863.0743195,22,0.00756,700.3736853
2025-12-10 06:00:00+00:00,92674.24,92695.38,92363.04,92695.38,0.16952,2025-12-10 06:59:59.999000+00:00,15695.6870103,35,0.11591,10740.0446747
2025-12-10 07:00:00+00:00,92713.63,92754.49,92403.08,92754.49,0.16486,2025-12-10 07:59:59.999000+00:00,15276.7584931,20,0.1126,10437.1047071
2025-12-10 08:00:00+00:00,92792.28,92792.28,92521.15,92741.71,0.10862,2025-12-10 08:59:59.999000+00:00,10059.246801,23,0.00205,190.1727091
2025-12-10 09:00:00+00:00,92733.05,92927.21,92535.82,92927.21,0.13349,2025-12-10 09:59:59.999000+00:00,12376.8186849,30,0.1325,12285.2082231
2025-12-10 10:00:00+00:00,92927.21,93213.63,92153.82,92463.74,1.33027,2025-12-10 10:59:59.999000+00:00,123163.4508323,61,0.40903,38060.2987527
2025-12-10 11:00:00+00:00,92449.75,92454.54,91809.46,92128.48,0.34185,2025-12-10 11:59:59.999000+00:00,31518.9805622,45,0.1642,15167.4418257
2025-12-10 12:00:00+00:00,91895.19,92232.84,91895.19,92044.44,0.02561,2025-12-10 12:59:59.999000+00:00,2359.4750031,23,0.02513,2315.3653119
2025-12-10 13:00:00+00:00,92177.34,92187.94,91883.96,92170.46,0.16933,2025-12-10 13:59:59.999000+00:00,15609.3264679,27,0.16843,15526.6309039
2025-12-10 14:00:00+00:00,92162.39,92162.39,91616.27,91867.74,0.27114,2025-12-10 14:59:59.999000+00:00,24905.6603841,65,0.2275,20899.9852576
2025-12-10 15:00:00+00:00,91867.62,92153.12,91599.99,92078.23,0.38215,2025-12-10 15:59:59.999000+00:00,35114.1997832,53,0.21688,19965.1994676
2025-12-10 16:00:00+00:00,92112.98,92594.53,91841.54,92387.31,0.07483,2025-12-10 16:59:59.999000+00:00,6909.4008231,56,0.04227,3902.9867476
2025-12-10 17:00:00+00:00,92047.54,92593.09,92047.54,92268.68,0.21516,2025-12-10 17:59:59.999000+00:00,19907.0585098,28,0.21449,19845.3822352
2025-12-10 18:00:00+00:00,92523.37,93024.11,92006.21,92371.87,0.48526,2025-12-10 18:59:59.999000+00:00,44877.20787,110,0.20379,18876.4180692
2025-12-10 19:00:00+00:00,92555.32,93190.42,91820.15,93092.92,2.80651,2025-12-10 19:59:59.999000+00:00,260425.6345156,212,0.46785,43448.3578157
2025-12-10 20:00:00+00:00,93086.36,94491.53,92274.07,92681.69,4.57769,2025-12-10 20:59:59.999000+00:00,428181.5872374,386,2.60524,244790.964243
2025-12-10 21:00:00+00:00,92504.97,92695.38,91917.79,92558.66,1.68779,2025-12-10 21:59:59.999000+00:00,156061.4132935,91,1.51403,140059.7183308
2025-12-10 22:00:00+00:00,92553.4,92683.78,92004.69,92651.79,0.0742,2025-12-10 22:59:59.999000+00:00,6860.8943244,33,0.06264,5792.6878518
2025-12-10 23:00:00+00:00,92645.97,92645.97,91946.89,91946.89,0.17213,2025-12-10 23:59:59.999000+00:00,15858.834134,58,0.00646,598.162589
2025-12-11 00:00:00+00:00,91951.14,92191.29,91069.57,91567.47,0.12388,2025-12-11 00:59:59.999000+00:00,11339.5901377,126,0.02767,2539.1648188
2025-12-11 01:00:00+00:00,91565.39,91565.39,90597.79,90916.17,0.65708,2025-12-11 01:59:59.999000+00:00,59781.003556,125,0.14667,13376.4955028
2025-12-11 02:00:00+00:00,90616.88,90739.38,89886.92,90070.42,0.91816,2025-12-11 02:59:59.999000+00:00,82630.436671,116,0.20563,18534.8068812
2025-12-11 03:00:00+00:00,90114.54,90121.35,89457.24,89800.29,0.3066,2025-12-11 03:59:59.999000+00:00,27570.5630666,103,0.1924,17319.9305356
2025-12-11 04:00:00+00:00,89800.0,90553.74,89669.79,90553.74,0.17872,2025-12-11 04:59:59.999000+00:00,16107.0797159,48,0.17397,15680.0805267
2025-12-11 05:00:00+00:00,90549.94,90549.94,90072.27,90466.3,0.04257,2025-12-11 05:59:59.999000+00:00,3843.2078541,30,0.00957,865.8675686
2025-12-11 06:00:00+00:00,90431.12,90509.88,90022.86,90108.87,0.06601,2025-12-11 06:59:59.999000+00:00,5956.1291494,24,0.03035,2743.0955835
2025-12-11 07:00:00+00:00,90459.84,90459.84,90070.67,90310.14,0.16732,2025-12-11 07:59:59.999000+00:00,15128.8224715,13,0.16727,15124.318938
2025-12-11 08:00:00+00:00,90302.87,90302.89,89939.89,89939.89,0.02524,2025-12-11 08:59:59.999000+00:00,2276.1659336,13,0.02466,2223.9807514
2025-12-11 09:00:00+00:00,90254.59,90522.35,90040.02,90522.35,0.00131,2025-12-11 09:59:59.999000+00:00,118.1655792,8,0.00046,41.5761706
2025-12-11 10:00:00+00:00,90417.96,90417.96,90031.76,90359.23,0.00584,2025-12-11 10:59:59.999000+00:00,527.4320938,14,0.00476,430.1175527
2025-12-11 11:00:00+00:00,90458.75,90458.75,90065.25,90369.67,0.00396,2025-12-11 11:59:59.999000+00:00,357.8714399,16,0.00338,305.6135125
2025-12-11 12:00:00+00:00,90128.84,90356.65,90128.84,90336.57,0.00512,2025-12-11 12:59:59.999000+00:00,462.2036995,15,0.00353,318.8925974
2025-12-11 13:00:00+00:00,89991.28,90283.29,89900.02,89980.02,0.01851,2025-12-11 13:59:59.999000+00:00,1667.9825534,30,0.00992,894.8225524
2025-12-11 14:00:00+00:00,90228.68,90419.25,89339.11,89564.08,1.2104,2025-12-11 14:59:59.999000+00:00,109198.7878749,134,0.92416,83462.5630222
2025-12-11 15:00:00+00:00,89688.9,90552.31,89585.92,89971.66,0.55184,2025-12-11 15:59:59.999000+00:00,49748.3409815,134,0.42332,38171.294412
2025-12-11 16:00:00+00:00,89968.73,90120.03,89363.37,89886.1,0.8121,2025-12-11 16:59:59.999000+00:00,73016.5953136,60,0.48576,43683.6572785
2025-12-11 17:00:00+00:00,89885.84,90265.48,89592.91,90206.22,0.1447,2025-12-11 17:59:59.999000+00:00,13026.3043046,41,0.05399,4863.1985126
2025-12-11 18:00:00+00:00,90181.15,91186.93,89899.24,90741.18,1.91628,2025-12-11 18:59:59.999000+00:00,172993.6799661,167,0.20187,18276.7173453
2025-12-11 19:00:00+00:00,90740.71,91455.96,90494.17,90748.61,1.27388,2025-12-11 19:59:59.999000+00:00,115987.9280559,141,0.50877,46326.6567006
2025-12-11 20:00:00+00:00,91050.13,91798.03,90750.46,91691.04,0.31618,2025-12-11 20:59:59.999000+00:00,28848.5964131,139,0.25382,23157.4880087
2025-12-11 21:00:00+00:00,91798.03,93496.9,91652.57,92954.47,0.48021,2025-12-11 21:59:59.999000+00:00,44684.7609013,268,0.37436,34853.7374552
